model_number,star_age,star_mass,log_L,Teff,radius,log_R,log_center_T,log_center_Rho,center_h1,center_he4,center_c12,center_o16,surface_h1,surface_he4,he_core_mass,co_core_mass,fe_core_mass,surf_avg_v_div_v_crit
54,0.9434834273922212,49.99999999928528,5.534575232988928,50954.82639939727,7.508792874492554,0.8755701247426426,7.659505531414867,0.5733711758455002,0.7600000364182972,0.23999019787127712,5.667428111955166e-35,2.0451117439401593e-43,0.7600000000000001,0.23999000000000004,0.0,0.0,0.0,0.2000017310691588
55,1.1321901128706655,49.99999999928528,5.534575417672292,50954.841507516205,7.508790018329719,0.8755699595475154,7.65950577987006,0.5733719536942179,0.7600000423205462,0.2399902303518371,6.498702992058669e-35,3.1024117694914024e-43,0.7600000000000002,0.23998999999999995,0.0,0.0,0.0,0.20000178079349237
56,1.3586381354447985,49.99999999928528,5.534575670707132,50954.86256668264,7.508785999143758,0.8755697270851949,7.659506129265992,0.5733730464670664,0.7600000493161219,0.23999026903316015,7.489599551452502e-35,4.76882892590135e-43,0.7600000000000002,0.23998999999999981,0.0,0.0,0.0,0.2000018502971258
57,1.630375762533758,49.99999999928528,5.534576026784019,50954.892264993505,7.508780324588791,0.8755693988791652,7.659506622198009,0.5733745862605237,0.7600000575878967,0.2399903150339782,8.66928783713527e-35,7.421787425665662e-43,0.7600000000000001,0.23998999999999987,0.0,0.0,0.0,0.20000194880749828
58,1.9564609150405095,49.99999999928528,5.534576519145548,50954.933871377165,7.508772318622961,0.8755689358281122,7.659507316759719,0.5733767544843869,0.7600000673520996,0.2399903697099439,1.0073222412189234e-34,1.1689618433037936e-42,0.7600000000000002,0.23998999999999976,0.0,0.0,0.0,0.2000020871419208
59,2.3477630980486115,49.99999999928528,5.53457721158178,50954.99250414918,7.508761024236538,0.8755682825797274,7.659508296421588,0.5733798107829403,0.7600000788378212,0.23999043456190494,1.174086936591853e-34,1.8614356544772376e-42,0.76,0.23998999999999965,0.0,0.0,0.0,0.20000230315585607
60,2.8173257176583335,49.99999999928527,5.534578176754424,50955.074945155895,7.508745070857564,0.8755673598613463,7.6595096796299025,0.5733841237950804,0.7600000923918085,0.23999051186529943,1.3731973269940344e-34,3.003743307667551e-42,0.7600000000000001,0.23998999999999968,0.0,0.0,0.0,0.20000279975758142
61,3.38080086119,49.999999999285265,5.53457953325748,50955.19114337174,7.508722551614747,0.8755660573803771,7.659511629818339,0.5733902008591717,0.7600001080871965,0.23999060247629903,1.6070219485113027e-34,4.874553192657183e-42,0.7600000000000006,0.23998999999999976,0.0,0.0,0.0,0.20000346242957714
62,4.056971033428,49.99999999928525,5.5345814196816425,50955.35388794683,7.508690895536196,0.8755642264312217,7.659514370518825,0.5733987388060928,0.7600001262367544,0.23999070879525616,1.881937069714171e-34,7.963154830621485e-42,0.7600000000000001,0.23998999999999954,0.0,0.0,0.0,0.20000434055079394
63,4.8683752401136005,49.999999999285244,5.534584051269215,50955.58206989739,7.508646396125412,0.8755616526262686,7.659518218171825,0.5734107194111452,0.7600001471084947,0.2399908332232847,2.2043738987095687e-34,1.3083331348696122e-41,0.7600000000000002,0.2399899999999996,0.0,0.0,0.0,0.2000056164120746
64,5.84206028813632,49.99999999928524,5.534587699177976,50955.90009357242,7.50858420572667,0.8755580555653035,7.659523597824964,0.5734274670772842,0.7600001709210477,0.23999097821885743,2.580948873838655e-34,2.1596386812588255e-41,0.7600000000000011,0.23998999999999962,0.0,0.0,0.0,0.20000747907824967
65,7.010482345763583,49.99999999928522,5.534592761211317,50956.34335516944,7.508497332699907,0.8755530308238378,7.659531104000766,0.5734508242243005,0.7600001978300189,0.23999114631638943,3.0184832547068296e-34,3.5779999387034807e-41,0.7599999999999999,0.23998999999999945,0.0,0.0,0.0,0.20001013864220224
66,8.4125888149163,49.99999999928521,5.534599744864716,50956.957546937876,7.508376700545048,0.8755460533558135,7.659541522392807,0.5734832362091259,0.7600002278931084,0.23999134003548786,3.5237098193135395e-34,5.943656998113562e-41,0.7600000000000009,0.2399899999999996,0.0,0.0,0.0,0.20001390267647268
67,10.095116577899558,49.99999999928519,5.53460934278585,50957.805082122446,7.508209907888965,0.8755364057398737,7.659555923160599,0.573528028470295,0.7600002611109531,0.23999156232791446,4.104340414684329e-34,9.902934977375387e-41,0.7600000000000002,0.2399899999999995,0.0,0.0,0.0,0.20001925525681735
68,12.11414989347947,49.99999999928517,5.534622465709769,50958.968282112444,7.5079805760345675,0.8755231403835233,7.65957571747573,0.5735895837987225,0.7600002971668411,0.23999181503397565,4.764888860109418e-34,1.651928406433636e-40,0.7600000000000005,0.23998999999999965,0.0,0.0,0.0,0.20002680924503122
69,14.536989872175361,49.99999999928513,5.534640304609096,50960.55498702312,7.507667236533397,0.8755050150761055,7.6596027547158805,0.5736736506482523,0.7600003356205985,0.23999210029445822,5.510116319282996e-34,2.757781591062171e-40,0.7600000000000008,0.23998999999999962,0.0,0.0,0.0,0.20003738964737156
70,17.444397846610435,49.999999999285095,5.5346644018616455,50962.70544415938,7.507241923017402,0.8754804113557416,7.659639439500826,0.573787696660564,0.7600003757548855,0.2399924197796104,6.342727123589551e-34,4.607992835206922e-40,0.7600000000000001,0.23998999999999956,0.0,0.0,0.0,0.20005195373071696
71,20.93328741593252,49.99999999928506,5.534696733952113,50965.598187467076,7.506669164728244,0.8754472759837373,7.65968882691704,0.5739412179162883,0.7600004163443681,0.23999277267731153,7.257864568078225e-34,7.68398566115397e-40,0.7600000000000008,0.23998999999999973,0.0,0.0,0.0,0.20007178889705962
